id,Order number,Date,Plant family,Placement,Phone,Color,Cost
605,2805,5/11/2018,Clusiaceae,58 Washington Road,512-948-4881,Teal,8.48
606,1227,7/10/2018,Bignoniaceae,08 Artisan Plaza,253-316-2410,Green,9.49
607,2823,8/14/2018,Polygonaceae,12176 Waxwing Terrace,889-354-7410,Violet,7.64
608,1133,5/5/2018,Graphidaceae,852 Trailsway Street,993-243-8186,Green,7.26
609,2393,5/12/2018,Poaceae,7 Longview Court,487-402-0963,Yellow,6.84
610,2544,10/14/2018,Zingiberaceae,92 Namekagon Center,625-459-9453,Red,6.72
611,1004,6/5/2018,Apiaceae,58543 Garrison Crossing,914-523-8936,Fuscia,5.35
612,1061,9/26/2018,Pottiaceae,322 Farragut Way,697-543-5333,Mauv,8.05
613,2410,6/27/2018,Acanthaceae,9729 Heath Court,473-340-7112,Blue,7.98
614,1858,9/7/2018,Iridaceae,661 Kensington Street,363-863-5447,Fuscia,5.94
615,1619,7/6/2018,Fabaceae,3 Prairie Rose Park,242-893-4689,Mauv,9.32
616,2379,6/15/2018,Euphorbiaceae,914 Haas Junction,496-708-7602,Puce,9.14
617,1791,10/11/2018,Scrophulariaceae,125 Clarendon Park,289-620-9964,Violet,6.78
618,2066,10/31/2018,Liliaceae,3064 Mallory Center,626-718-8009,Pink,8.95
619,2963,6/19/2018,Malvaceae,6 Straubel Way,214-200-6507,Green,6.25
620,1077,10/7/2018,Primulaceae,46599 Division Center,223-826-7836,Purple,7.39
621,1879,5/15/2018,Poaceae,60 Leroy Place,970-217-4006,Aquamarine,7.51
622,1897,10/6/2018,Asteraceae,85556 Heath Street,489-290-5792,Purple,5.76
623,2975,9/8/2018,Fabaceae,2 Dorton Plaza,994-543-5160,Fuscia,9.35
624,2576,5/31/2018,Scrophulariaceae,382 Vernon Junction,713-864-4509,Blue,9.39
625,2142,5/31/2018,Asteraceae,48592 Commercial Street,988-616-8837,Turquoise,5.67
626,2164,7/6/2018,Pertusariaceae,44173 Northfield Trail,294-419-2116,Teal,7.17
627,1542,5/12/2018,Asteraceae,1665 Hovde Place,942-629-5912,Turquoise,8.50
628,2682,8/6/2018,Ranunculaceae,16069 Golf View Park,493-590-1726,Indigo,5.78
629,2497,5/17/2018,Asteraceae,622 Reindahl Crossing,311-263-2537,Turquoise,9.87
630,1133,6/15/2018,Scrophulariaceae,5325 Buhler Circle,513-735-6876,Fuscia,6.72
631,2185,10/22/2018,Arecaceae,770 Hagan Drive,321-136-1792,Blue,6.24
632,2213,6/27/2018,Physciaceae,70687 Cascade Drive,502-616-8836,Pink,5.20
633,2400,7/31/2018,Boraginaceae,567 Talmadge Hill,107-161-4356,Green,7.92
634,1742,9/8/2018,Crassulaceae,7 Eggendart Pass,917-498-6094,Maroon,6.32
635,1364,6/18/2018,Tropaeolaceae,577 Basil Trail,928-229-6309,Teal,6.37
636,1950,9/13/2018,Euphorbiaceae,6660 Corscot Avenue,264-967-8517,Turquoise,9.50
637,1691,6/23/2018,Rosaceae,3674 Pennsylvania Drive,358-291-0821,Blue,5.57
638,2311,10/17/2018,Asteraceae,7130 Loomis Hill,608-568-0802,Mauv,9.68
639,1107,6/1/2018,Fabaceae,1047 Coleman Lane,292-898-1571,Puce,8.60
640,2902,10/16/2018,Crassulaceae,523 Pierstorff Court,411-897-4902,Puce,5.64
641,2301,9/15/2018,Rosaceae,1 Blue Bill Park Avenue,463-894-2242,Teal,10.00
642,2639,5/17/2018,Saxifragaceae,4303 Independence Court,752-545-3816,Orange,9.87
643,2841,9/5/2018,Cupressaceae,3 Bobwhite Way,546-556-8026,Yellow,9.57
644,2761,5/8/2018,Asteraceae,81472 Schmedeman Road,542-947-5316,Puce,6.45
645,1484,5/21/2018,Rosaceae,823 Schlimgen Junction,921-349-0345,Teal,8.00
646,2587,8/30/2018,Ericaceae,423 Briar Crest Pass,955-595-6303,Indigo,5.11
647,1807,7/15/2018,Violaceae,0 Eagle Crest Road,963-235-6508,Purple,9.11
648,1230,7/4/2018,Boraginaceae,80 Weeping Birch Terrace,204-703-1171,Pink,8.41
649,2603,7/18/2018,Fabaceae,49 Westerfield Parkway,652-243-6538,Orange,7.70
650,2815,10/4/2018,Polygonaceae,0232 Hoard Road,419-498-6390,Mauv,7.81
651,2570,8/28/2018,Flacourtiaceae,43 Derek Point,293-214-9673,Blue,6.52
652,2440,8/8/2018,Arecaceae,8 Jenifer Junction,747-955-1574,Green,8.06
653,2770,10/20/2018,Asteraceae,6 Hooker Court,789-896-8065,Aquamarine,7.57
654,1601,6/17/2018,Fabaceae,62882 Huxley Park,259-940-0342,Pink,8.78
655,2488,6/9/2018,Encalyptaceae,5 Acker Street,944-497-3371,Green,6.29
656,2314,5/24/2018,Rosaceae,8487 Holy Cross Alley,513-994-9679,Aquamarine,8.43
657,2519,9/24/2018,Rubiaceae,6105 Schiller Alley,845-519-0475,Teal,6.05
658,2090,10/16/2018,Lobariaceae,3705 Division Drive,514-354-4063,Red,6.80
659,2408,5/8/2018,Crassulaceae,914 Farwell Crossing,656-246-6690,Purple,5.84
660,1313,6/26/2018,Asteraceae,537 Acker Plaza,807-766-0771,Red,7.72
661,2756,7/24/2018,Scrophulariaceae,781 Washington Center,252-519-5253,Khaki,9.95
662,2821,7/20/2018,Ulmaceae,16680 Magdeline Hill,664-130-9233,Blue,6.25
663,1807,8/4/2018,Portulacaceae,119 Dahle Lane,240-915-0973,Orange,9.35
664,1217,7/21/2018,Dryopteridaceae,77 Oxford Drive,601-142-7393,Teal,5.59
665,2528,6/13/2018,Cupressaceae,94 Anhalt Alley,250-585-6477,Teal,6.79
666,2740,7/27/2018,Verrucariaceae,52 Carpenter Center,756-444-5650,Teal,6.89
667,1696,5/15/2018,Sapindaceae,423 Florence Place,476-154-3902,Indigo,9.62
668,2703,7/22/2018,Orchidaceae,4014 Thierer Lane,741-710-2707,Indigo,5.43
669,1755,7/27/2018,Poaceae,739 Arapahoe Way,986-158-1020,Violet,9.30
670,2821,7/3/2018,Chenopodiaceae,6 Graedel Road,537-775-8338,Puce,6.68
671,1580,6/6/2018,Primulaceae,3 Darwin Junction,143-489-0146,Turquoise,5.88
672,2441,7/15/2018,Leskeaceae,28 Warbler Road,701-941-4375,Blue,6.89
673,2637,5/12/2018,Rutaceae,2473 Valley Edge Drive,910-950-2932,Teal,5.32
674,1248,7/28/2018,Pertusariaceae,23 Farmco Crossing,533-406-5922,Purple,7.47
675,2122,7/5/2018,Asteraceae,32 Roth Point,475-892-9615,Pink,8.87
